Company Name,City,Address,Contact No,Services
CubixIT,Islamabad,"Mujahid Plaza, Jinnah Avenue, Blue Area, Islamabad",92 3348623273,"Web solutions, Digital Marketing, Mobile Application development, SEO Services"
SpeckPro Digital,Islamabad,"House 44, Street 119, G-13/4 Islamabad",-3604,"Web Development, UI/UX Design, Mobile App Development, Iot Solutions, Digital Transformation, Digital Marketing"
The Square Peg,Islamabad,"Office #25, 1st Floor, Aim Arcade, D-12/1 D 12 Markaz D-12, Islamabad, Islamabad Capital Territory 44000",0300 5753330,IT Services
Ovex Technologies,Lahore,"2nd Floor 37-Civic Center, Block M, Model Town Extension, Lahore,",92-51-2824777,"Software Development, IT Consulting, Business Process Outsourcing, Contact Center Services"
Averox,Karachi,"13th Floor, Tower 1, Zamzama Commercial Complex, Karachi, Pakistan",92-21-3580000,"Software Development, IT Consulting, Cloud Computing, Mobile App Development"
Devsort Services,Islamabad,"Office 304, Aniq Arcade, I-8 Markaz Islamabad",92-42-35737777,"Software Development, Web Development, Mobile App Development, IT Training"
Discretelogix,Islamabad,"Software Technology Park, KSL, Service Rd N, I-9/3 Islamabad, 44000",92-51-2852388,"Software Development, IT Consulting, Data Science, Machine Learning"
Emumba,Islamabad,"Plot # 189-A, Korang Road, I-10/3 I 10/3 I-10, Islamabad, Islamabad Capital Territory",92-42-35333333,"Software Development, Mobile App Development, E-Commerce Solutions, Digital Marketing"
UMUTs Technologies,Islamabad,"House 254، 90 St 90, I-8/4",0336 0551504,Computer and Network Security
Media Clicks,Islamabad,"Office 11, Mezzanine Floor, Bewal Plaza Fazal.e.Haq Road, G 6/2 Blue Area, Islamabad Capital Territory 44000",0333 5911155,N/A
Edixen Solutions Pakistan,Rawalpindi,"Gulistan Colony, Wah Cantt, Rawalpindi, Punjab",0331 2402857,IT Services and IT Consulting
Mars Technologies Incorporation Pakistan,Islamabad,"House No.10, Street No.5, I-9/1 Markaz",N/A,N/A
Micro Advantage - IT Solutions Company,Islamabad,"Suite No.27, Wali Centre, 86 South, AKM Fazal-e-Haq Road, Blue Area",0300 9805515,N/A
Informatics Systems & Solutions,Islamabad,"Office 3 & 4, 3rd Floor, Ahmad Center, I-8 Markaz",0333 5625634,IT Services and IT Consulting
ISix Technologies,Islamabad,"Suite No. 2, Block No. 13, PHA Buildings, G-7/1",N/A,N/A
Micro Merger,Islamabad,"Plot No. 395-396, 3 Service Rd N, I-9/3",(051) 8444777,"Software Development, Mobile App Development, E-Commerce Solutions, Digital Marketing"
Zauss Software House & Technologies (Pvt) Ltd.,Islamabad,"House No 398, Street No 167, Sector G-11/1",0331 5457605,N/A
Solution Weavers (Pvt) Ltd,Islamabad,"106 East, Asif Plaza, 3rd Floor, Fazal-e Haq Road, Blue Area",0345 5236939,IT Services and IT Consulting
Al-Futtaim Technologies Pakistan (Private) Limited,Islamabad,"1st Floor, Khumrial Centre, G-8/4",9221-4313582,N/A
Xtranza,Islamabad,"Office No. 2, 2nd Floor, Galaxy Arcade, G-11 Markaz",N/A,N/A
Syntecx solutions,Islamabad,"Plot 253, I-9/2, Industrial Area, Java Hotel",(051) 5402217,N/A
Fides Technologies (Pvt) Ltd.,Islamabad,"Office# 1-B, Aneeq Plaza, I-8 Markaz",N/A,IT Services and IT Consulting
BTC Network Solutions (PVT) LTD,Islamabad,"6-O, Ground Floor P.E.C.H.S., Sindh, Karachi",N/A,N/A
Sofnix (PVT) LTD,Islamabad,"122 Eastern Ave, Phase-4 Civic Center Bahria Town, 44000",(051) 2724003,N/A
E-Strats,Islamabad,"No.44, Street No.116, G-11/4",N/A,Field Service Workforce Management App & Scheduling Software
I Engineering Pakistan (Pvt) Ltd.,Islamabad,"2nd Floor, Green Trust Tower, Blue Area, Jinnah Avenue",N/A,N/A
Information Architects (Pvt) Ltd.,Islamabad,"First Floor, 4-A, Utility Store Plaza, F-8 Markaz",N/A,N/A
Synergy Computers (Pvt) Ltd,Islamabad,"B Block, Pakistan Secretariat, Ramna 5 Diplomatic Enclave, 44000",(051) 2828347,IT solutions providers
Zeropoint.it,Islamabad,"House No.7, Street No.18, F/8",N/A,IT Services and IT Consulting
Advanced VoIP (Pvt) Ltd,Islamabad,"House No 299, Street 67, Sector F-11/1",N/A,N/A
Planet Beyond,Islamabad,"Office No 39, Level 4, Software Technology Park",(051) 2348405,Mobile Value Added Services (VAS) solutions.
Aksa Solution Development Services (Pvt) Ltd,Islamabad,"Plot # 359 Street 5, I-9/3 I 9/3 I-9,",(051) 2827582,"hardware, software and solutions providing facility"
Comsoft Services,Islamabad,"Office# 9, 2nd Floor, Park View Plaza, F-10 Markaz",N/A,Custom software development service
Fifth Dimension (Pvt) Ltd.,Islamabad,"Suite No. 308, 3rd Floor, Al-Asghar Plaza, Jinnah Avenue, Blue Area",N/A,N/A
Guild Soft Technologies,Islamabad,"Office # 6A, Mezzanine Floor, Ayesha Plaza، D-Block Jinnah Ave, F 6/1 Blue Area",(051) 2805333,IT staffing company
CrestSoft,Islamabad,"142, Industrial Triangle, Kahuta Road, Humak",0333 1555077,Digital Marketing
Shaheen Innovative & e-Technologies,Islamabad,"Shaheen Foundation Head Office, PAF Complex, E-9/1",N/A,N/A
Seven Sigma Technologies,Islamabad,"61-A, 11th Floor, Saudi Pak Tower, Jinnah Avenue, Blue Area",(051) 2800077,IT Services and IT Consulting
Graphiters,Islamabad,"Office No. 3, Second Floor, Prism Arcade, Bahria Town, Phase VII",N/A,"website development, mobile app development, social media marketing, search engine optimization & graphic design"
Tech-Co Services,Islamabad,"Flat No. 10, 3rd Floor, Islamabad Arcade, G-11 Markaz",N/A,mortgage banking staffing and recruiting firm
Abacus Consulting Technology (Pvt) Ltd.,Islamabad,"3rd Floor, Evacuee Trust Complex, Agha Khan Road, Sector F-5/1",N/A,N/A
D4 Interactive (Pvt) Ltd.,Islamabad,"Civic Center Bahria Town Phase 4 Bahria Town, Rawalpindi, Islamabad, Punjab 46220",0333 5898777,IT Services and IT Consulting
Quad Developers,Islamabad,"Street 19, Block 5, G-10/2",0340 1107777,IT Services and IT Consulting
Horizon Teletech Innovations (Pvt) Ltd.,Islamabad,"Street No. 73, Sughra Tower, F-11/1",(051) 8700323,IT Services and IT Consulting
Softweb Technologies,Islamabad,"Abu Bakar Market, G-11/1",N/A,IT Services and IT Consulting
Zatsol,Islamabad,"Plot No. 9, Street No. 14/A, Phase II, British Homes, Sector I-13",N/A,IT Services and IT Consulting
Wikisol,Islamabad,"House No. 23, Street No. 134, G-13/4",N/A,IT Services and IT Consulting
DNS Pak - Innovative Web Solutions,Islamabad,"Office No. 311, Third Floor, Islamabad Stock Exchange Towers, Jinnah Avenue, F-7",N/A,N/A
Code Enterprise (Pvt) Ltd.,Islamabad,"Office No.1, 3rd Floor, Mehria Plaza, Jinnah Ave, G 6/2",(051) 2805292,N/A
UltraSpectra (Pvt) Ltd.,Islamabad,"House No، 47 Street 1, G-15/2 G 15/2 G-15",0333 5422422,Internet Marketing Service 
1 to N (Pvt) Ltd.,Islamabad,"House No. 66-A, Street No. 66, G-6/4",(051) 2820120,IT Services and IT Consulting
Generic Web Solutions,Islamabad,"Flat No. 8, Block 56, Ibn-e-Sina Road, G-11/3",N/A,IT Services and IT Consulting
Creanyx,Islamabad,"2nd Floor, Software Technology Park 2, Evacuee Trust Complex, Agha Khan Road F-5/1,",0345 5111504,N/A
Asian IT House,Islamabad,"Office No. 1, Bhatti Rajpoot Plaza, Main Service Road, Gangal East",0343 5339186,N/A
Aspire Solutions (Pvt) Ltd.,Islamabad,"Plot No. 95, ST-7, I-10/3, Near Wi-Tribe Technical Head Office",N/A,"consulting, IT services and business technology"
Esource Media,Islamabad,"House No. 55, Street No.36, F-6/1",0345 5551575,E-Source Graphic Design Agency
Excalibur Solution,Islamabad,"Office No. T-8, 3rd Floor, Arshad Sharif Plaza, G-11 Markaz",N/A,systems integration company
Interactive Communication World,Islamabad,"House No. 283, Street -55, F-11/4",N/A,N/A
Futuresol tech,Islamabad,"First Floor, Satti Arcade, Lehtrar Road, Khanna Pul, Bilal Town Khanna",0334 5662119,professional technology service
Lokmart Private Limited,Islamabad,"Second Floor, Utility Plaza, F-8 Markaz",N/A,N/A
Prosquad Software Services,Islamabad,"House No. 11-C, Street No. 3, Al Wadi Colony 17 Miles, Bara Kahu",N/A,N/A
Kode Flow Technologies Pvt Ltd,Islamabad,"Street No. 105, House No.451, I-8/4",N/A,N/A
M/s. Islamabad Recruitment Company - IRCO,Islamabad,"House No. 389-A, Street 39, F-11/3",(051) 2111301,"consulting, IT services and business technology"
Media Express (Pvt.) Ltd,Islamabad,"Office No. 18, 3rd Floor, Al Hammed Plaza, G-11 Markaz",N/A,N/A
Walisoft Technologies,Islamabad,"Office No.6, 3rd Floor, Al-Jannat Arcade, G-11 Markaz",N/A,N/A
Jics Tech,Islamabad,"Office No.4, Al Jannat Arcade, Near Punjab Bank, G-11 Markaz",N/A,"Web Design, Web Development and Web Promotion"
Dynasols,Islamabad,"Block 68, I&T Centre, G10/1",0333 5811946,N/A
CommTel System,Islamabad,"19-B, Street-52, F-11/3 Markaz",N/A,technology company
Alee Tel,Islamabad,"Office # A-1 ,House No 43, Street# 55 ,G-9/4",N/A,it & telecom wireless wisp solution provider
Raffles (Pvt) Ltd. [Microsoft Gold Partner],Islamabad,"Office No. 1-3, Block # 53, Mezanine Floor, F6/G6, Fazal-e-Haq Raod, Blue Area",N/A,N/A
Electronic Solutions Pakistan (Pvt) Ltd. (ESOLPK),Islamabad,"3rd Floor, 12-D, SNC Centre, Fazal-e-Haq Road, Blue Area",(051) 2870640,"consulting, IT services and business technology"
WebComers,Islamabad,"House # 242 Street 55, I-8/3 I 8/2 I-8",Not Available,"SEO, Web Development, Mobile App Development"
DevProvider,Rawalpindi,"Office # 1/08, 3rd Floor, Silk Center, Murree Rd, Block B Satellite Town",Not Available,"Blockchain, Mobile App Development, Web Development"
Dynamologic Solutions,Islamabad,Not Available,(051) 8312580,"Content Marketing, UX/UI Design, Web Development"
Kikbits,Islamabad,I-8 Markaz,0345 8551560,"Web Development, Custom Software Development, E-Commerce Development"
VirrgoTech,Islamabad,"Office 23-24, 4th Fl, Pakland City Centre, Markaz, I-8 Markaz",(051) 8441742,"Web Design, SMM, SEO"
Next Generation Business Solutions,Islamabad,"Street 97, G-11/3 G 11/3 G-11",44 20 8144 4497,"IT Staff Augmentation, Application Management & Support, Custom Software Development"
High Rank Technologies,Islamabad,"Qamar Plaza, First Floor, I.J.P. Road, opposite IJP Metro Station, Faizabad, Islamabad",51 83 118289,"Advertising, Branding, Marketing Strategy"
Evertise Digital,Islamabad,"Phase 4, 37, Civic Center Bahria Town Civic Center Bahria Town",Not Available,"PR, SEO, Event Marketing & Planning"
Aurora Solutions,Islamabad,"5th Floor Gulberg Emporium, Business Square, Block A Gulberg Greens",1 312-489-8004,"Custom Software Development, Web Development, Mobile App Development"
Digits2,Karachi,"P.E.C.H.S Karachi, Sindh 75100,",923044894894,"Marketing Strategy, Email Marketing, Logo Design"
CodeAge,Islamabad,"MXMQ+9CF, F-11 Markaz F 11 Markaz F-11",0302 5607719,"SEO, UX/UI Design, Mobile App Development"
Cutting Edge Group,Islamabad,"MPCHS E-11/3, 3rd Floor, Sara Plaza, MPCHS E 11/3 E-11",(051) 8448584,"PR, Digital Strategy, Advertising"
XYMAX Technologies,Islamabad,Not Available,0313 5550011,"Branding, Digital Strategy, SMM"
Evamp & Saanga,Islamabad,"Plot No, 324 Street 4, I-9/3 I 9/3 I-9",(051) 2870726,"Mobile App Development, Web Development, E-Commerce Development"
TECHVANDO,Islamabad,"Office no. 220, TIC Building NUST, H-12,",0333 5727272,"Content Marketing, Email Marketing, SEO"
Hostbreak,Islamabad,"Empire Heights II, Office LG11",0334 8560160,"Web Development, SEO"
CodeJunkie,Islamabad,"Suite 03, Block 17, PHA Apartments G-7/2",Not Available,"Artificial Intelligence, Mobile App Development, Web Development"
MountAZ,Islamabad,Not Available,Not Available,"Pay Per Click, SMM, Advertising"
PrograminStudio,Rawalpindi,"Office 511, Fifth floor, Makkah Tower, Adam Jee Rd,",0333 5525237,"E-Commerce Development, Web Development, Mobile App Development"
Web Matrix,Islamabad,"House No.08, Street No. 03, Royal Avenue near Comsats University",0333 5147939,"Web Design, Web Development, SEO"
Limecom,Islamabad,"Business Square, Gulberg Greens Block A Gulberg Greens",0333 3733366,"Web Design, SMM, SEO"
Vital Solutions,Islamabad,Not Available,0345 5155806,"IT Managed, Mobile App Development, Web Design"
Arete Pvt. Ltd,Islamabad,"Green Trust Tower, Jinnah Ave, F 6/1 Blue Area",0333 5144033,"Custom Software Development, Graphic Design, Mobile App Development"
NineSol,Islamabad,"First and Second Floor, 3-U Commercial Plaza, Sitara Market, G-7 Markaz",(051) 2620085,"SEO, Mobile App Development, Web Development"
9Xero Technologies,Islamabad,"Office# 110, 1st Floor, Royal Centre, Block I G 7/2 Blue Area",0305 5629988,"Digital Strategy, SMM, Content Marketing"
Pearl Soft,Islamabad,"Street 55, I-8/3 I 8/2 I-8",(051) 4860232,Web Development
Vitalwiz,Islamabad,"G5J5+8HR, near Askari Bank, Top of Jugnu Wasim Salon, Sector E DHA Phase II,",Not Available,"Mobile & App Marketing, Other Digital Marketing, SMM"
eORGANICS,Islamabad,"MXWP+XV5, NPF E 11/4 E-11",Not Available,"SMM, Web Development, Marketing Strategy"
Devdap,Islamabad,Not Available,0331 5879503,"Web Development, UX/UI Design"
Solutions Player,Islamabad,Not Available,Not Available,"Web Design, Web Development, Mobile App Development"
Digital Otters,Lahore,"Plaza 18, Khayaban-e-Iqbal, Sector XX DHA Phase 3",0321 4093000,"SMM, Digital Strategy, Pay Per Click"
Offside Technologies,Lahore,Not Available,Not Available,"Wordpress, CMS, eCommerce, Shopify, Shopify Plus, Mean Stack, Mern Stack, and Ruby on Rails"
AdMark Digital,Islamabad,"Office 1, Level 4, J&K Arcade, Phase 4 Bahria Town",Not Available,"Content Marketing, Graphic Design, Web Development"
ikonami Technologies,Islamabad,"Flat No 2, Block 13, PHA Building, G-7/1",(051) 8437479,"Web Development, Mobile App Development, Custom Software Development"
OreoSoft,Islamabad,"National Incubation Center, Street 6, Sector H-9/1",Not Available,"Mobile App Development, Web Development"
OneByte,Islamabad,"Plot no. 94, Daftarkhwan | North, 3 Street 7, I-10/3",Not Available,"Mobile App Development, Web Development"
Next Web Studio,Rawalpindi,"J3XP+7RH, Dhoke Kala Khan",0340 8154123,"Web Design, SEO"
HA Technologies,Islamabad,"Office # 2,3,4 Third Floor, Yasin Plaza, near Savour, Block G G 7/3 Blue Area, Islamabad, 44000",(051) 2120860,SEO
Finyki Digital,Islamabad,"House 1124 Street 40, G-11/2 G 11/2 G-11, Islamabad, Islamabad Capital Territory 44000",0313 1452017,"SMM, Web Development, Conversion Optimization"
Mozzine Technologies Pvt Ltd,Islamabad,"3rd Floor, 352-A Main PWD Rd, Block-A Block A Police Foundation, Islamabad, Rawalpindi, Punjab",(051) 2723600,"B2B, and B2C cloud solutions, marketing, design and development"
Devsinc,Lahore,"Plot B 15, Plot B 281, Sector B Phase 5 D.H.A, Lahore,",(042) 35740280,"IT strategy, design, and IT engineering services"
UnitedSol Pvt Ltd,Islamabad,"349 St 1, I-9/3 I 9/3 I-9",(051) 8442246,Web Design & Development Company
United Software and Technologies International Pvt. Ltd.,Lahore,UIG House 6D Upper Mall Lahore,924238102200,IT Services and IT Consulting
Dice Analytics,Islamabad,"1st Floor, Al-Rehman Chamber, 79 East AKM Fazl-ul-Haq Rd, Block G G 7/3 Blue Area",(051) 8356066,Business Intelligence services
Techylem Solutions (Pvt.) Ltd,Islamabad,"CIE, Innovation drive, H-12, Islamabad, Capital Territory Area 44000",923217624486,IT Services and IT Consulting
Svype (PVT) LTD,Islamabad,"Islamabad, Federal 45550",3177737793,"Technology, Information and Media"
Saufik,Islamabad,"Plot 349, Street 1, I-9/3",92 51 835-6733,"webapps, Cloud SaaS, Mobile apps, Browser automation, and LMS"
Cloudtek Pvt Ltd,Islamabad,"Street 7 , Plot 94, I-10/3",(051)8897009,IT Services and IT Consulting
Cloud Enterprise Business Solutions (CEBS),Islamabad,"G-7(B) ISE Tower, Jinnah Avenue",contact@cebs.io,"Software Development, Business Intelligence & Analytics"
Turing Technologies,Islamabad,"Islamabad, Islamabad 44000",0321 5091135,"Market & Customer Research, Software & App Development, User Experience Design, Web Design & Development, User Acquisition, and Digital Marketing"
Bytewise Limited,Islamabad,"Islamabad, Islamabad 46000",,IT Services and IT Consulting
Data Nomad,Islamabad,"Gulberg Business Center Civic Center, 3rd Floor",923458337806,
Genesis IT Lab,Islamabad,"3rd floor, Building, Genesis IT Lab, 29 Street 40, G-10/4",(051) 8356551,Information Technology & Services
Infiniun,Islamabad,"CIS Technology Park, Islamabad, Pakistan 44000, PK",N/A,"Digital Services, Software, Smart Algorithms, Smart Devices, IoT, Fintech"
USquare Solutions,Islamabad,"Office number 17, 2rd floor, Zaki Center, I-8 Markaz,",92 300-7171197,"digital marketing, SEO, Mobile APP Development, Game Development, Unity, C#, Arcore, Arkit, SMM"
Nizi Solutions,Islamabad,Blue Area Islamabad,923445253421,IT System Custom Software Development
Jabs solution Pvt Ltd,Islamabad,"5 School Rd, F-6/2 F 6/2",(051) 8316896,"e-commerce, JAVA, and Linux, IT System Custom Software Development"
Five River solutions,Islamabad,19 St#16 Bahria Springs North Commercial Phase 7,051-5412174,"Games Development, Game Design, ASO, Graphics Designing, 3D Models, and Animations"
Smart Engineering & Design solutions,Islamabad,Office # 04 First Floor Benazir Plaza Blue Area,(051)8449970,"Embedded Solutions, Web development, Software Solution, Product Development Services, Manufacturing in bulk, Design & Implementation services, Smart Meters, Home Automation"
The Solutions (Pvt). Ltd,Islamabad,"House 406, St 144, D-12/4",(0333)5139649,"Digital, Media & Marketing solutions"
Sparrono Solutions,Islamabad,"Islamabad, 44000,",923067809522,"Creative Writing, Content Writing, Social Media Marketing, Research, Writing , Proofreading, Editing, Technical Writing, SEO, Web Development, and Outsourcing"
Extol Solutions (LLP),Islamabad,"4th Floor, 85-East Kamran Center, Jinnah Ave, Blue Area",(021)35852433,IT Services and IT Consulting
Adequate Solutions,Islamabad,"Plot No 7, Shaikh Zaid Bin DHA, Phase 2 G 36 DHA Phase 5",(051) 2810057,IT Services and IT Consulting
Winning Solutions,Islamabad,"Lower Ground, Islamabad Corporate Centro. Plot No. 784/75, Golra Road, Module 1",923458591450,"Software & Technology, AI enabled solutions, Business Automation, ERP Systems, Product Development, Tech Solutions, Marketing Research, Retail Audits & Automation, , and GPS & GIS enabled Data Collection"
Techease Solutions Pvt Ltd,Islamabad,"Laal Heights, Second floor, NPF Main Road, E11/2",,IT Services and IT Consulting
Maxxpace solutions,Islamabad,"3rd Floor, Building, Office 2 Street 44A, Bahria Town Phase IV Civic Center Bahria Town",92 348 202 7549,"SEO, Brand Identity , Web development, Business consultation, and Brand Strategy"
DIGIMASTER SOLUTIONS,Islamabad,"Office No 1, First Floor, Rauf Tower, G.T. Rd, Sector A DHA Phase II",0333 5369853,IT Services and IT Consulting
Sharim Solutions,Islamabad,"Sector F Phase 1 Dha Islamabad, Business Bay Sector F Phase 1 Dha",(051) 8742790,IT Services and IT Consulting
Ropstam Solutions Inc.,Islamabad,"Plaza 82, 83 St 26A, Sector H DHA Phase II",1-(866) 631-8767,"Software Developement, Website Development, App Development, Mobile Apps, Web Apps, Web Design, IOS App Development, and Android App Development"
DynamoLogic Solutions,Islamabad,"Islamabad, 44000,",(051) 8312580,IT Services and IT Consulting
Merik Solutions,Islamabad,"Street 7, I-10/3",N/A,IT Services and IT Consulting
Creatrixe Solutions Limited,Islamabad,"Mezzanine, Services Apartment, Plaza 146, Civic Centre, Phase 4 Bahria Town",N/A,"Android, iOS, Unity 3D, Web Based Solutions, and Mobile Application Development"
Alestra Solutions,Islamabad,"Marvel Arcade, LG Floor, Gulberg Greens Executive Block",92512758523,Promotional and Explainer Videos Logo Animation Website Development Digital Marketing App Development Content Writing
IVY INTERACTIVE SOLUTIONS LTD,Islamabad,"380, 3 Potohar Rd, I-9",92518858888,"Enabling Technologies, Mobile Apps, FMCG Solutions, Healthcare Services and Solutions, Sales and Distribution systems, and On-demand Services Platforms"
Mern IT Solutions,Islamabad,"Office A1, 3rd Floor, Marina One, B Block Gulberg Greens",051-5913160,Software development
IR Solutions,Islamabad,"Office 10, 3rd Floor, Al Rehmat Plaza, G11 Markaz,",92-51-2761585,Websites | Mobile Apps | Blockchain | Digital Marketing | Metaverse
NCRI Solutions,Islamabad,"66 Street 9, I-9/3 I 9/3",(051) 8466395,BPO services organization
Elegant Solutions (PVT) LTD,Islamabad,"Jamal Plaza, F-10 Markaz F-11/1, Islamabad, Federal 44000,",92518483669,"Enterprise Content Management, Analytics, Safety & Security Solutions, Knowledge Discovery, Access Control Systems, Software Development, Video Wall Solutions, and Security & Surveillance Solutions"
Firefly Tech Solutions,Islamabad,"Islamabad, 44000,",N/A,"ERP solutions, Mobile Application Development, Business Intelligence and Data Analytics , Geo Spatial Analysis, Corporate Skill Development, and Team Augmentation"
IOTA Solutions,Islamabad,"1st Floor, Khumrial Center, I&T Center, Street 22, G-8/4",(051) 2250084,IT Services and IT Consulting
Vizteck Solutions,Islamabad,"Building 145, Floor 2, Bahria town, civic center",(051) 2728804,IT Services and IT Consulting
Botnostic Solutions,Islamabad,"House 15 Street 29, F-8/1",0302 8557775,IT Services and IT Consulting
ByteTech Solutions,Islamabad,"office # 10, 3rd Floor, VIP Plaza, I-8 Markaz",0308 5239573,"Web Development, Software Development, UI/UX , SMM, SEO, Content Writing, Web Designing, Graphic Designing, 3D Visualization and Modeling, Logo Animation, and Video Editing"
Lexor Solutions Pvt Ltd,Islamabad,"F-11 Markaz Fazal arcade 3rd floor office #11,12,13",923339570203,"Reactjs, NLP, ML, ANGULAR, NODE.JS, LARAVEL, CODEIGNITER, SYMPHONY, DRUPAL, FLUTTER, ANDROID, IOS, and UI/UX"
ADMK SOLUTIONS,Islamabad,"Office # 8, 3rd Floor, MB City Mall Plaza, I 8 Markaz",051-2719081,"Web Development, UI/UX, Web Applications, WordPress, and PPC"
Plasma IT Solutions,Islamabad,"P3MQ+696, F-5/1",(051) 8468775,
Base Camp Data Solutions,Islamabad,"Street 6, Block E, Naval Anchorage, H21",(051) 5159264,"Website Design & Development, Content Management System, e-Commerce, SEO, SMM, PPC, Mobile Application Development, Enterprise Solution Development, Business Analysis, and Camera Monitoring Systems"
GRAVITY SOLUTIONS,Islamabad,Office No. 09 First Floor Awan Plaza G-8 Markz,923336577555,IT Services and IT Consulting
Stantech Solutions,Islamabad,"Islamabad, 44000,",(0310)9132346,Design Services
Exponent Solutions,Islamabad,"6, Al - Abbas Center, Fazal -e- Haq Road, Blue Area, Islamabad., ",021-32277048,IT Services and IT Consulting
CIBAK Solutions,Islamabad,"Office # 6-8, 2nd Floor Pakland Business Center, I 8 Markaz",N/A,Software Development
Kinetic Solutions,Islamabad,"House # 628، 1 Street 44, G-13/2",0312 6411978,
Research and Development Solutions,Islamabad,"Roshan Aaj Center, Asad Market, off Street 34, I-9/4",0331 4610488,
Carbonic IT Solutions,Islamabad,"Plot 139 Street 9, I-10/3",(0324)8744121,Web-Development Graphics SEO Digital-Marketing APP-Development Content-Writing Client-Handling
INTELGENCY IT Solutions,Islamabad,"Office # 215, 2nd floor, CIE Building, NUST, H-12,",923105177899,"Application Development , Game Development, and NFT Based Games"
DEVELO IT SOLUTIONS (PVT) ltd.,Islamabad,"Office# G-002, Ground Floor, Impact business center, G-10/4,",92 51 8730134,"Mobile App Development , Web App Development , Custom Software Development , UI / UX Designing, MERN Stack, React Native | React.js | Node.js | Mongodb | Firebase, Quality Assurance , IT Consultation , and Enterprise Resource Planning"
Shape Solutions (Private) Limited,Islamabad,I-8 Markaz,,IT Services and IT Consulting
i3Pathfinder Solutions (Pvt) Ltd,Karachi,"Kawish Crown Plaza, Shahrah e Faisal, 11th Floor,",923009211102,IT Services and IT Consulting
ServeEasy Cloud Based POS System,Karachi,"Office # 1101, 11th Floor, Caesar's Tower, Shahrah-e-Faisal, Karachi",0333-2274831,Cloud-based POS system
Nizamer Software Network (Pvt) Ltd,Karachi,"Office # 1101, 11th Floor, Caesar's Tower, Shahrah-e-Faisal, Karachi",0333-2274831,Software development
Hyper Solutions,Karachi,"Office # 1101, 11th Floor, Caesar's Tower, Shahrah-e-Faisal, Karachi",0333-2274831,IT solutions
The Rapid Support,Karachi,"A-113 Gulshan-e-iqbal Block 3 Adnan Khalil Street, Karachi, Pakistan",(021) 34835812,Software development
Compass Dx (pvt) Ltd,Karachi,"Office # 506, 5th Floor, Caesar's Towers, Shahrah-e-faisal",3333176812,Software development
Simsin The School Digital Partner,Lahore,"2nd Floor, 39 Commercial Area, Cavalry Ground, Lahore, Punjab",0300 8421343,Software Houses
Kreativsoft,Karachi,"Park Avenue, Shahrah-e-Faisal Rd, Pakistan Employees Co-Operative Housing Society Block 6 PECHS",: 0340 5550120,Software Houses
Divwide Solutions,Karachi,"Suite No. 810, 8th Floor, Falaknaz Plaza, Shahrah-e-Faisal Rd, Gulshan-e-Millat Shah Faisal Colony 1 Landhi Town",0336 1789041,Software Houses
Dosani Technologies,Karachi,"Shop No = T82 , 3rd floor, Amma Tower Mall, near Mobile Market, Saddar",0314 5414554,Software Houses
Twoplusa,Karachi,"4th Floor, Kohinoor Electronc Market, Abdullah Haroon Rd, Saddar Preedy Quarters, Karachi, Karachi City, Sindh 75080",0332 8919199,Software Houses
Plan Z Catalyst ,Karachi,"Room No. 342, 3rd Floor, Hbl Building, Iba, Main M.a. Jinnah Road, Karachi Pakistan",923355575269,Time And Url Tracking App In Pakistan
Digitizal – The Digital Agency,Karachi,"B-712, Saima Trade Tower,, I.i. Chundrigar Road, Karachi, Pakistan",(0317)8866096,Software Houses
Techstirr,Karachi,"Schon Center, 2nd Floor, Ii Chundrigar Road",92 21 32624423,Software Houses
Dys Solutions Pvt. Ltd / Hisaab Erp,Karachi,"404, 4th Floor Kavish Crown Plaza, Shahrah-e-faisal","02134330999, 03008296954",Software Houses
Divsnpixel,Karachi,"Ls-17/18 First Floor 5c-4 Near Power House Chorangi, North Karachi, Karachi","02136907949, 03332987949",Software Houses
Tech N Digital,Karachi,"704, Park Avenue, Shahrah-e-faisal Rd, Karachi, 75400",(0333)2969164,Software Houses
Xexagon Solutions,Karachi,"Karachi, Pakistan","923152261159, 03152261159",Software Houses
Intellexal Solutions Private Limited,Karachi,"2nd Floor, Bungalow No.136-b, S.m.c.h.s Block-b, Karachi, 74400, Pakistan",092-21-34331234-5,Software Houses
Riksof,Karachi,"603, Horizon Tower, Kheyaban-e-saadi, Block 3 Clifton, Karachi, Sindh 75600, Pakistan",92 (21) 3529-2676,Software Houses
Pakistan Data Management Services,Karachi,"Suite #207 Fortune Centre, Pechs Block 6, Sharah-e-faisal, Karachi",92-(21) 3455-9003,Software Houses
Telniasoft (pvt) Ltd.,Karachi,"4th Flr.,6-c,prime Point Buil.,khayaban-e-ittehad,phase-vii,d.h.a. Karachi","(92 21) 35311773, 35311775",Software Houses
Technical Color Solution,Karachi,"B-84,block #13-d,gulshan-e-iqbal Karachi","(92 21) 34976021, 34976281",Software Houses
Ten Pearls International,Karachi,"Suite # 401,fortune Center,main Shahrah-e-faisal Karachi","(92 21) 34328447, 34328448",Software Houses
Uffaq Technologies (pvt) Ltd.,Karachi,"302,clifton Center,block-5,clifton Karachi","(92 21) 35863561, 35863562",Software Houses
Vertex Business Solutions (pvt),Karachi,"Suite 312,mashriq Centre,block-14,gulshan-e-iqbal Karachi","(92 21) 34132841, 34132840",Software Houses
